First Name,Last Name,Street Name,Street Number,City,Province,Country,Postal Code
MICHAEL,LastNameC,Fenwick,1008,Windsor,MN,Canada,B3RL49
WILLIAM,LastNameB,Fenwick,800,BedFord,PEI,Canada,B3T5YL
JOSEPH,LastNameB,South,1008,Dartmouth,PEI,Canada,B3T5YL
JOSEPH,LastNameD,Summer,1990,Dartmouth,PEI,Canada,B3RL49
CHARLES,LastNameE,Morris,1155,BedFord,PEI,Canada,B3RL49
JOHN,LastNameB,Morris,1005,BedFord,PEI,Canada,B3RL49
JOSEPH,LastNameD,Summer,8009,BedFord,PEI,Canada,B3T5YL
JOSEPH,LastNameD,South,800,Dartmouth,MN,Canada,B3RL49
CHARLES,LastNameE,South,800,Dartmouth,ON,Canada,B3RL49
RICHARD,LastNameF,Fedrick,800,Dartmouth,MN,Canada,B3RL49
CHARLES,LastNameD,South,1990,Toronto,NB,Canada,B3RL49
JOSEPH,LastNameE,South,1155,Windsor,NB,Canada,B3RL49
MICHAEL,LastNameB,Morris,1155,Windsor,MN,Canada,B3T5YL
MICHAEL,LastNameD,Inglis,800,Windsor,PEI,Canada,B3RL49
JOHN,LastNameE,Morris,1155,Windsor,NB,Canada,B3RL49
RICHARD,LastNameD,Summer,1005,Toronto,NB,Canada,B3RL49
MICHAEL,LastNameF,Fenwick,1155,BedFord,ON,Canada,B3T5YL
MICHAEL,LastNameF,South,800,Windsor,ON,Canada,B3RL49
DAVID,LastNameB,Summer,1990,Dartmouth,MN,Canada,B3T5YL
RICHARD,LastNameE,Summer,1008,Toronto,NB,Canada,B3T5YL
